PERIOD,cl_id,MCC,currency,TRDATETIME,amount,target_flag,target_sum,trx_category_mul,mday,ymonth,year,wday,is_weekend,mcc_group,amount_log,channel_type1,channel_type2,channel_type3,channel_type4,channel_type5,trx_BACK_TRX,trx_C2C_IN,trx_C2C_OUT,trx_CASH_ADV,trx_CAT,trx_DEPOSIT,trx_POS,trx_WD_ATM_OTHER,trx_WD_ATM_PARTNER,trx_WD_ATM_ROS
01/07/2017,6035,5541,810,2017-07-21 00:00:00,1000.0,0,0.0,-1,21,7,2017,4,False,1.0,6.90875477931522,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/02/2017,1862,5411,810,2017-02-16 00:00:00,651.0,1,18940.99,-1,16,2,2017,3,False,17.0,6.480044561926653,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
01/03/2017,4014,5411,810,2017-03-09 00:00:00,258.0,1,91697.35,-1,9,3,2017,3,False,17.0,5.556828061699537,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/09/2017,8327,6012,810,2017-09-16 15:48:08,2600.0,0,0.0,-1,16,9,2017,5,True,11.0,7.8636512654486515,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
01/11/2016,5612,5541,810,2016-11-23 00:00:00,1000.0,1,44341.11,-1,23,11,2016,2,False,1.0,6.90875477931522,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/04/2017,1955,5812,810,2017-04-30 00:00:00,250.0,1,81608.7,-1,30,4,2017,6,True,15.0,5.5254529391317835,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
01/05/2017,4317,5691,810,2017-05-21 00:00:00,140.0,1,119306.3,-1,21,5,2017,6,True,8.0,4.948759890378168,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/03/2017,6517,8099,810,2017-03-06 00:00:00,2070.0,0,0.0,-1,6,3,2017,0,False,13.0,7.635786861395585,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/02/2017,5877,6011,810,2017-02-15 12:26:40,30000.0,0,0.0,1,15,2,2017,2,False,11.0,10.308985993422082,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
01/01/2017,1830,5411,810,2017-01-23 00:00:00,76.5,1,122786.42,-1,23,1,2017,0,False,17.0,4.350277936359301,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
01/04/2017,417,5812,810,2017-04-07 00:00:00,320.0,1,133329.76,-1,7,4,2017,4,False,15.0,5.771441123130016,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
01/05/2017,3567,5813,810,2017-05-30 00:00:00,205.0,1,110617.96,-1,30,5,2017,1,False,15.0,5.327876168789581,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/07/2017,2096,5945,810,2017-07-06 00:00:00,1539.0,1,55306.47,-1,6,7,2017,3,False,15.0,7.3395376954076745,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
01/12/2016,10045,5411,810,2016-12-30 00:00:00,467.2,1,1494.49,-1,30,12,2016,4,False,17.0,6.148895555056811,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/04/2017,9638,5912,810,2017-04-30 00:00:00,1066.1,0,0.0,-1,30,4,2017,6,True,15.0,6.972699967622519,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/06/2017,4846,5411,810,2017-06-10 00:00:00,2088.0,1,131.46,-1,10,6,2017,5,True,17.0,7.644440761556566,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/02/2018,1295,6011,810,2018-02-12 11:18:40,14500.0,0,0.0,-1,12,2,2018,0,False,11.0,9.581972891547895,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
01/12/2016,6605,5499,810,2016-12-27 00:00:00,70.8,0,0.0,-1,27,12,2016,1,False,17.0,4.273884476054178,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/06/2017,1957,5411,810,2017-06-21 00:00:00,52.06,1,249155.04,-1,21,6,2017,2,False,17.0,3.971423348709594,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
01/08/2017,3523,5311,810,2017-08-04 00:00:00,762.5,1,205648.99,-1,4,8,2017,4,False,17.0,6.637913124658687,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/05/2017,98,5812,810,2017-05-06 00:00:00,1125.0,1,180482.96,-1,6,5,2017,5,True,15.0,7.026426808699636,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
01/01/2017,3168,5814,810,2017-01-12 00:00:00,233.0,0,0.0,-1,12,1,2017,3,False,15.0,5.455321115357702,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
01/05/2017,9073,6011,810,2017-05-04 13:50:16,1400.0,0,0.0,-1,4,5,2017,3,False,11.0,7.244941546337007,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
01/04/2017,1839,5912,810,2017-04-23 00:00:00,563.0,1,132972.04,-1,23,4,2017,6,True,15.0,6.335054251498059,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
01/09/2017,8407,5912,810,2017-09-14 00:00:00,132.2,0,0.0,-1,14,9,2017,3,False,15.0,4.891851758106289,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/05/2017,2021,6011,810,2017-05-08 00:00:00,1000.0,1,103555.98,-1,8,5,2017,0,False,11.0,6.90875477931522,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
01/08/2017,2756,6011,810,2017-08-17 00:00:00,5000.0,1,100933.62,1,17,8,2017,3,False,11.0,8.517393171418904,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
01/06/2017,8621,5411,810,2017-06-25 00:00:00,308.49,1,181462.18,-1,25,6,2017,6,True,17.0,5.73492578142496,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/10/2017,2438,5411,810,2017-10-10 00:00:00,140.0,1,190850.33,-1,10,10,2017,1,False,17.0,4.948759890378168,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
01/01/2017,7995,4816,810,2017-01-19 00:00:00,1.0,0,0.0,1,19,1,2017,3,False,5.0,0.6931471805599453,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
01/10/2017,9978,5039,810,2017-10-01 00:00:00,452.0,0,0.0,-1,1,10,2017,6,True,9.0,6.115892125483034,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/01/2017,609,6011,810,2017-01-25 00:00:00,1000.0,1,110336.91,-1,25,1,2017,2,False,11.0,6.90875477931522,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
01/01/2017,9977,5411,810,2017-01-18 00:00:00,874.0,0,0.0,-1,18,1,2017,2,False,17.0,6.774223886357614,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/05/2017,2366,5661,810,2017-05-13 00:00:00,3192.0,1,129563.06,-1,13,5,2017,5,True,8.0,8.068716192714781,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
01/07/2017,3800,5411,810,2017-07-09 00:00:00,35.99,0,0.0,-1,9,7,2017,6,True,17.0,3.610647605844363,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/12/2016,1830,5999,810,2016-12-13 00:00:00,4900.0,1,122786.42,-1,13,12,2016,1,False,15.0,8.497194544909547,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
01/12/2017,1592,6011,826,2017-12-03 00:00:00,40.0,1,266823.02,-1,3,12,2017,6,True,11.0,3.713572066704308,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
01/07/2017,691,6011,810,2017-07-18 13:21:04,85000.0,0,0.0,1,18,7,2017,1,False,11.0,11.350418300109132,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
01/02/2017,556,5812,810,2017-02-14 00:00:00,550.0,1,815567.39,-1,14,2,2017,1,False,15.0,6.311734809152915,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
01/03/2017,3120,6012,810,2017-03-24 00:00:00,5000.0,0,0.0,-1,24,3,2017,4,False,11.0,8.517393171418904,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
01/03/2017,2019,4816,810,2017-03-16 00:00:00,1340.0,1,102706.21,-1,16,3,2017,3,False,5.0,7.201170883281678,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
01/07/2017,1564,5641,810,2017-07-23 00:00:00,1427.9,1,288518.61,-1,23,7,2017,6,True,8.0,7.2646601964749244,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
01/03/2017,6246,3011,810,2017-03-13 00:00:00,72000.0,0,0.0,1,13,3,2017,0,False,0.0,11.184435286790631,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
01/03/2017,4171,4121,810,2017-03-16 00:00:00,210.0,0,0.0,-1,16,3,2017,3,False,18.0,5.351858133476067,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/08/2017,2087,5200,810,2017-08-29 00:00:00,558.0,1,109817.16,-1,29,8,2017,1,False,17.0,6.326149473155099,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
01/06/2017,6447,5814,810,2017-06-07 00:00:00,355.0,0,0.0,-1,7,6,2017,2,False,15.0,5.87493073085203,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/04/2017,6803,5812,810,2017-04-04 00:00:00,80.0,1,208050.7,-1,4,4,2017,1,False,15.0,4.394449154672439,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/05/2017,1261,4722,810,2017-05-08 00:00:00,760.0,1,384351.32,-1,8,5,2017,0,False,18.0,6.634633357861686,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
01/12/2016,9412,6011,810,2016-12-15 00:00:00,45000.0,0,0.0,-1,15,12,2016,3,False,11.0,10.714439990727769,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
01/05/2017,2688,5999,810,2017-05-25 17:43:19,4008.48,0,0.0,-1,25,5,2017,3,False,15.0,8.296416836081507,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
01/04/2017,5793,5411,810,2017-04-16 00:00:00,752.09,1,133.35,-1,16,4,2017,6,True,17.0,6.62418474257007,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/04/2017,731,5722,810,2017-04-29 00:00:00,49973.0,1,304230.98,-1,29,4,2017,5,True,15.0,10.819258149163396,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
01/11/2016,9233,5732,810,2016-11-27 00:00:00,13270.0,0,0.0,-1,27,11,2016,6,True,15.0,9.493336482437249,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/06/2017,302,6012,810,2017-06-06 00:00:00,40000.0,1,705822.72,1,6,6,2017,1,False,11.0,10.596659732783579,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
01/10/2017,1933,5814,810,2017-10-15 00:00:00,260.0,1,132574.84,-1,15,10,2017,6,True,15.0,5.564520407322694,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
01/02/2017,46,5912,810,2017-02-09 00:00:00,849.0,0,0.0,-1,9,2,2017,3,False,15.0,6.745236349484362,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/08/2017,718,5812,810,2017-08-01 00:00:00,45.8,1,85820.33,-1,1,8,2017,1,False,15.0,3.845883202923601,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
01/08/2017,1304,5411,810,2017-08-20 00:00:00,1427.0,1,306763.71,-1,20,8,2017,6,True,17.0,7.2640301428995295,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
01/11/2016,1422,5921,810,2016-11-12 00:00:00,5962.0,1,74198.66,-1,12,11,2016,5,True,15.0,8.693328989123106,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
01/10/2016,9346,5411,810,2016-10-24 00:00:00,140.0,1,288486.11,-1,24,10,2016,0,False,17.0,4.948759890378168,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/07/2017,1160,5411,810,2017-07-19 00:00:00,9911.5,1,54315.15,-1,19,7,2017,2,False,17.0,9.201551865943104,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
01/04/2017,2993,5814,810,2017-04-17 00:00:00,90.0,1,71507.81,-1,17,4,2017,0,False,15.0,4.51085950651685,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
01/01/2017,9539,6011,810,2017-01-21 15:12:22,8000.0,1,126782.06,1,21,1,2017,5,True,11.0,8.987321812850125,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
01/01/2017,6859,5719,810,2017-01-21 00:00:00,1365.0,0,0.0,-1,21,1,2017,5,True,15.0,7.2196420401307355,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/06/2017,2063,7922,810,2017-06-06 00:00:00,2489.63,1,61488.6,-1,6,6,2017,1,False,14.0,7.8202909695047955,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
01/08/2017,6357,6011,810,2017-08-09 23:31:51,16000.0,0,0.0,1,9,8,2017,2,False,11.0,9.680406499268875,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
01/07/2017,9964,5411,810,2017-07-28 00:00:00,85.0,0,0.0,-1,28,7,2017,4,False,17.0,4.454347296253507,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/12/2016,594,6011,810,2016-12-03 13:07:57,50000.0,1,83789.5,-1,3,12,2016,5,True,11.0,10.819798284210286,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
01/07/2017,6405,5411,810,2017-07-15 00:00:00,340.0,0,0.0,-1,15,7,2017,5,True,17.0,5.831882477283517,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/06/2017,5414,5411,810,2017-06-23 00:00:00,2256.0,1,240845.39,-1,23,6,2017,4,False,17.0,7.721791776817535,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/05/2017,7419,5411,810,2017-05-14 00:00:00,1231.02,0,0.0,-1,14,5,2017,6,True,17.0,7.116410377727933,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/07/2017,6772,6012,810,2017-07-27 12:55:26,3609.7,0,0.0,1,27,7,2017,3,False,11.0,8.191656938346798,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
01/07/2017,9244,5499,810,2017-07-31 00:00:00,62.0,1,49301.36,-1,31,7,2017,0,False,17.0,4.143134726391533,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/01/2017,9674,5411,810,2017-01-14 00:00:00,625.0,0,0.0,-1,14,1,2017,5,True,17.0,6.439350371100098,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/05/2017,4931,5411,810,2017-05-06 00:00:00,537.0,0,0.0,-1,6,5,2017,5,True,17.0,6.2878585601617845,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/03/2017,7000,6011,810,2017-03-05 08:41:43,40000.0,0,0.0,-1,5,3,2017,6,True,11.0,10.596659732783579,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
01/08/2017,4813,6011,810,2017-08-27 10:55:29,15000.0,0,0.0,1,27,8,2017,6,True,11.0,9.61587214452889,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
01/02/2017,3813,5311,810,2017-02-18 00:00:00,1897.0,1,110660.57,-1,18,2,2017,5,True,17.0,7.5485559791698735,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/12/2017,5089,5712,810,2017-12-30 00:00:00,1172.0,1,396649.93,-1,30,12,2017,5,True,15.0,7.067319848653476,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/06/2017,2704,5814,810,2017-06-05 00:00:00,195.0,1,237942.13,-1,5,6,2017,0,False,15.0,5.278114659230518,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
01/07/2017,7158,5411,764,2017-07-11 00:00:00,283.5,0,0.0,-1,11,7,2017,1,False,17.0,5.6507332535663855,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/07/2017,1890,5921,810,2017-07-04 00:00:00,214.5,1,78295.82,-1,4,7,2017,1,False,15.0,5.372960909543803,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
01/12/2016,10110,8299,810,2016-12-14 00:00:00,1530.0,1,71649.5,-1,14,12,2016,2,False,13.0,7.333676395657684,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/04/2017,235,5411,810,2017-04-20 00:00:00,1381.99,1,171614.7,-1,20,4,2017,3,False,17.0,7.232003100980627,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
01/04/2017,6204,5499,810,2017-04-07 00:00:00,98.0,0,0.0,-1,7,4,2017,4,False,17.0,4.59511985013459,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/05/2017,2101,5541,810,2017-05-19 00:00:00,3102.22,1,271011.94,-1,19,5,2017,4,False,1.0,8.04019556106503,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
01/11/2016,8214,4511,458,2016-11-14 00:00:00,132.06,0,0.0,-1,14,11,2016,0,False,18.0,4.890800154313742,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/12/2016,3543,4812,810,2016-12-31 00:00:00,21539.0,1,596120.3,-1,31,12,2016,5,True,5.0,9.977666950710379,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/09/2017,4563,5816,810,2017-09-24 00:00:00,500.0,1,143265.06,-1,24,9,2017,6,True,15.0,6.2166061010848646,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/08/2017,7101,5411,810,2017-08-04 00:00:00,2161.5,0,0.0,-1,4,8,2017,4,False,17.0,7.679020238806034,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/07/2017,3561,6011,810,2017-07-31 18:58:00,5000.0,0,0.0,1,31,7,2017,0,False,11.0,8.517393171418904,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
01/07/2017,9472,5814,810,2017-07-10 00:00:00,25.0,1,40038.38,-1,10,7,2017,0,False,15.0,3.258096538021482,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/12/2016,9149,5812,810,2016-12-21 00:00:00,694.0,0,0.0,-1,21,12,2016,2,False,15.0,6.543911845564792,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/12/2016,7733,5944,810,2016-12-27 00:00:00,9310.0,0,0.0,-1,27,12,2016,1,False,15.0,9.138951775888529,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/10/2016,1299,6011,810,2016-10-22 12:52:14,100000.0,1,89899.29,-1,22,10,2016,5,True,11.0,11.51293546492023,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
01/05/2017,3572,5499,810,2017-05-13 00:00:00,130.0,1,65009.91,-1,13,5,2017,5,True,17.0,4.875197323201151,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/01/2017,8988,7230,810,2017-01-12 00:00:00,7152.0,1,4616.24,-1,12,1,2017,3,False,7.0,8.875287128108384,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/12/2016,3030,6011,810,2016-12-15 07:23:16,35000.0,1,78172.23,-1,15,12,2016,3,False,11.0,10.463131911491967,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
01/04/2017,2889,6011,810,2017-04-27 00:34:16,10000.0,1,57033.7,-1,27,4,2017,3,False,11.0,9.210440366976517,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
01/03/2017,117,5661,810,2017-03-03 00:00:00,2198.0,1,295.0,-1,3,3,2017,4,False,8.0,7.695757990554761,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
01/04/2017,2812,5912,810,2017-04-29 00:00:00,282.5,0,0.0,-1,29,4,2017,5,True,15.0,5.647212123167807,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
01/12/2016,9166,6011,810,2016-12-15 21:44:29,10000.0,1,52708.77,1,15,12,2016,3,False,11.0,9.210440366976517,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
01/01/2017,7643,5499,810,2017-01-25 00:00:00,2508.0,1,378480.64,-1,25,1,2017,2,False,17.0,7.827639546366422,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/08/2017,5477,5411,810,2017-08-31 00:00:00,5111.0,1,33500.0,-1,31,8,2017,3,False,17.0,8.53934599605737,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/08/2017,104,5541,810,2017-08-24 00:00:00,1999.9,1,3646.5,-1,24,8,2017,3,False,1.0,7.601352358322448,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
01/02/2017,8475,5999,810,2017-02-17 06:41:56,100.0,1,36.85,-1,17,2,2017,4,False,15.0,4.61512051684126,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/01/2017,9137,4121,810,2017-01-30 00:00:00,174.0,0,0.0,-1,30,1,2017,0,False,18.0,5.1647859739235145,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/02/2017,866,8062,704,2017-02-03 00:00:00,4989000.0,1,72153.97,-1,3,2,2017,4,False,13.0,15.422746247284124,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
01/02/2017,2533,5411,810,2017-02-01 00:00:00,1182.28,1,156478.74,-1,1,2,2017,2,False,17.0,7.076045522363114,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
01/01/2017,8624,5992,810,2017-01-10 00:00:00,1530.0,0,0.0,-1,10,1,2017,1,False,15.0,7.333676395657684,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/06/2017,5394,5411,810,2017-06-02 00:00:00,85.0,1,273204.4,-1,2,6,2017,4,False,17.0,4.454347296253507,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/02/2017,7378,5661,810,2017-02-28 00:00:00,4790.0,0,0.0,-1,28,2,2017,1,False,8.0,8.474494436883122,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/09/2017,2040,5947,810,2017-09-09 00:00:00,5100.0,1,126206.59,-1,9,9,2017,5,True,15.0,8.537191877922927,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
01/06/2017,6477,5411,810,2017-06-09 00:00:00,243.7,0,0.0,-1,9,6,2017,4,False,17.0,5.5000329704486255,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/08/2017,9279,5411,810,2017-08-25 00:00:00,252.32,0,0.0,-1,25,8,2017,4,False,17.0,5.534653511648229,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/04/2017,1443,5814,810,2017-04-11 00:00:00,308.0,1,390027.67,-1,11,4,2017,1,False,15.0,5.733341276897746,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
01/06/2017,6427,5411,810,2017-06-03 00:00:00,500.0,1,566359.14,-1,3,6,2017,5,True,17.0,6.2166061010848646,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/12/2016,6768,5814,810,2016-12-31 00:00:00,250.0,1,92.0,-1,31,12,2016,5,True,15.0,5.5254529391317835,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/05/2017,3988,6011,810,2017-05-02 00:00:00,6000.0,1,320869.75,-1,2,5,2017,1,False,11.0,8.699681400989514,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
01/09/2017,4271,6011,810,2017-09-08 00:00:00,1500.0,0,0.0,-1,8,9,2017,4,False,11.0,7.313886831633462,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
01/07/2017,2695,5411,810,2017-07-12 00:00:00,939.62,1,47867.41,-1,12,7,2017,2,False,17.0,6.846539232308495,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
01/04/2017,5793,5964,840,2017-04-03 00:00:00,19.25,1,133.35,-1,3,4,2017,0,False,12.0,3.0081547935525483,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/07/2017,3499,7832,810,2017-07-29 00:00:00,730.0,1,125158.49,-1,29,7,2017,5,True,14.0,6.594413459749778,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/06/2017,9521,5411,810,2017-06-05 00:00:00,1359.0,0,0.0,-1,5,6,2017,0,False,17.0,7.215239978730097,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/04/2017,10117,5411,810,2017-04-24 00:00:00,250.0,1,16438.46,-1,24,4,2017,0,False,17.0,5.5254529391317835,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/08/2017,8674,5411,810,2017-08-24 00:00:00,1831.8,1,1961.0,-1,24,8,2017,3,False,17.0,7.5136001311392855,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/12/2016,8735,5411,810,2016-12-03 00:00:00,370.45,0,0.0,-1,3,12,2016,5,True,17.0,5.917414265597815,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/09/2017,757,6011,810,2017-09-25 00:00:00,2000.0,1,512161.42,-1,25,9,2017,0,False,11.0,7.601402334583733,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
01/08/2017,1765,5211,810,2017-08-31 00:00:00,750.0,1,130588.7,-1,31,8,2017,3,False,17.0,6.621405651764134,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
01/07/2017,2412,5411,810,2017-07-10 00:00:00,75.0,1,42834.97,-1,10,7,2017,0,False,17.0,4.330733340286331,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
01/06/2017,3610,5814,810,2017-06-16 00:00:00,827.0,1,152734.95,-1,16,6,2017,4,False,15.0,6.71901315438526,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/10/2016,3162,7832,810,2016-10-23 00:00:00,260.0,0,0.0,-1,23,10,2016,6,True,14.0,5.564520407322694,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
